//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 1.79031E+03	 1.47242E+03
 1.79269E+03	 1.47152E+03
 1.79506E+03	 1.47616E+03
 1.79743E+03	 1.46786E+03
 1.79981E+03	 1.47212E+03
 1.80218E+03	 1.46976E+03
 1.80455E+03	 1.47008E+03
 1.80692E+03	 1.47204E+03
 1.80928E+03	 1.47176E+03
 1.81165E+03	 1.46956E+03
 1.81402E+03	 1.46950E+03
 1.81639E+03	 1.46976E+03
 1.81875E+03	 1.46478E+03
 1.82112E+03	 1.46606E+03
 1.82348E+03	 1.46936E+03
 1.82585E+03	 1.46900E+03
 1.82821E+03	 1.46896E+03
 1.83057E+03	 1.46994E+03
 1.83293E+03	 1.47150E+03
 1.83529E+03	 1.46838E+03
