//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 1.67311E+03	 2.67200E+03
 1.67552E+03	 2.67466E+03
 1.67793E+03	 2.67590E+03
 1.68034E+03	 2.68070E+03
 1.68274E+03	 2.67698E+03
 1.68515E+03	 2.67710E+03
 1.68756E+03	 2.67468E+03
 1.68996E+03	 2.68034E+03
 1.69236E+03	 2.68402E+03
 1.69477E+03	 2.67886E+03
 1.69717E+03	 2.68496E+03
 1.69957E+03	 2.67828E+03
 1.70197E+03	 2.67612E+03
 1.70438E+03	 2.67900E+03
 1.70678E+03	 2.68840E+03
 1.70917E+03	 2.68550E+03
 1.71157E+03	 2.68786E+03
 1.71397E+03	 2.67190E+03
 1.71637E+03	 2.67940E+03
 1.71876E+03	 2.66902E+03
 1.72116E+03	 2.65784E+03
 1.72355E+03	 2.66864E+03
 1.72595E+03	 2.65070E+03
 1.72834E+03	 2.64844E+03
 1.73073E+03	 2.63050E+03
 1.73313E+03	 2.61920E+03
 1.73552E+03	 2.60950E+03
 1.73791E+03	 2.60506E+03
 1.74030E+03	 2.59492E+03
 1.74269E+03	 2.60166E+03
 1.74507E+03	 2.60858E+03
 1.74746E+03	 2.61982E+03
 1.74985E+03	 2.62796E+03
 1.75224E+03	 2.63408E+03
 1.75462E+03	 2.64386E+03
 1.75701E+03	 2.63378E+03
 1.75939E+03	 2.63302E+03
 1.76177E+03	 2.63322E+03
 1.76415E+03	 2.63160E+03
 1.76654E+03	 2.61854E+03
 1.76892E+03	 2.62952E+03
 1.77130E+03	 2.63216E+03
 1.77368E+03	 2.62880E+03
 1.77606E+03	 2.63462E+03
 1.77843E+03	 2.62910E+03
 1.78081E+03	 2.62154E+03
 1.78319E+03	 2.62406E+03
 1.78556E+03	 2.63152E+03
 1.78794E+03	 2.62454E+03
 1.79031E+03	 2.60888E+03
 1.79269E+03	 2.61456E+03
 1.79506E+03	 2.62744E+03
 1.79743E+03	 2.61702E+03
 1.79981E+03	 2.61526E+03
 1.80218E+03	 2.60338E+03
 1.80455E+03	 2.60908E+03
 1.80692E+03	 2.60838E+03
 1.80928E+03	 2.61478E+03
 1.81165E+03	 2.60260E+03
 1.81402E+03	 2.60924E+03
 1.81639E+03	 2.61198E+03
 1.81875E+03	 2.59262E+03
 1.82112E+03	 2.59516E+03
 1.82348E+03	 2.59594E+03
 1.82585E+03	 2.59934E+03
