//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 1.72116E+03	 1.41940E+03
 1.72355E+03	 1.42046E+03
 1.72595E+03	 1.41920E+03
 1.72834E+03	 1.42144E+03
 1.73073E+03	 1.41990E+03
 1.73313E+03	 1.41916E+03
 1.73552E+03	 1.41900E+03
 1.73791E+03	 1.41986E+03
 1.74030E+03	 1.41734E+03
 1.74269E+03	 1.41818E+03
 1.74507E+03	 1.41840E+03
 1.74746E+03	 1.42066E+03
 1.74985E+03	 1.42194E+03
 1.75224E+03	 1.42270E+03
 1.75462E+03	 1.41892E+03
 1.75701E+03	 1.42504E+03
 1.75939E+03	 1.42092E+03
 1.76177E+03	 1.42242E+03
 1.76415E+03	 1.42218E+03
 1.76654E+03	 1.42092E+03
 1.76892E+03	 1.42294E+03
 1.77130E+03	 1.42056E+03
 1.77368E+03	 1.41942E+03
 1.77606E+03	 1.42170E+03
 1.77843E+03	 1.42076E+03
 1.78081E+03	 1.42240E+03
 1.78319E+03	 1.42126E+03
 1.78556E+03	 1.42216E+03
 1.78794E+03	 1.42330E+03
 1.79031E+03	 1.42260E+03
 1.79269E+03	 1.42276E+03
 1.79506E+03	 1.42100E+03
 1.79743E+03	 1.42336E+03
 1.79981E+03	 1.42188E+03
 1.80218E+03	 1.42322E+03
 1.80455E+03	 1.42342E+03
 1.80692E+03	 1.42448E+03
 1.80928E+03	 1.42140E+03
 1.81165E+03	 1.42394E+03
 1.81402E+03	 1.42246E+03
 1.81639E+03	 1.42128E+03
 1.81875E+03	 1.42464E+03
 1.82112E+03	 1.42482E+03
 1.82348E+03	 1.42096E+03
 1.82585E+03	 1.42194E+03
