//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 1.68034E+03	 1.44094E+03
 1.68274E+03	 1.44226E+03
 1.68515E+03	 1.44532E+03
 1.68756E+03	 1.44460E+03
 1.68996E+03	 1.44424E+03
 1.69236E+03	 1.44146E+03
 1.69477E+03	 1.44434E+03
 1.69717E+03	 1.44260E+03
 1.69957E+03	 1.44526E+03
 1.70197E+03	 1.44174E+03
 1.70438E+03	 1.44518E+03
 1.70678E+03	 1.44580E+03
 1.70917E+03	 1.44416E+03
 1.71157E+03	 1.44556E+03
 1.71397E+03	 1.44146E+03
 1.71637E+03	 1.44326E+03
 1.71876E+03	 1.44278E+03
 1.72116E+03	 1.44098E+03
 1.72355E+03	 1.44852E+03
 1.72595E+03	 1.44604E+03
 1.72834E+03	 1.44318E+03
 1.73073E+03	 1.44396E+03
 1.73313E+03	 1.44118E+03
 1.73552E+03	 1.44040E+03
 1.73791E+03	 1.43944E+03
 1.74030E+03	 1.44060E+03
 1.74269E+03	 1.44272E+03
 1.74507E+03	 1.44560E+03
 1.74746E+03	 1.44176E+03
 1.74985E+03	 1.44676E+03
 1.75224E+03	 1.44186E+03
 1.75462E+03	 1.44550E+03
 1.75701E+03	 1.44260E+03
 1.75939E+03	 1.44382E+03
 1.76177E+03	 1.44388E+03
 1.76415E+03	 1.44438E+03
 1.76654E+03	 1.44620E+03
 1.76892E+03	 1.44522E+03
 1.77130E+03	 1.44358E+03
 1.77368E+03	 1.44680E+03
 1.77606E+03	 1.44538E+03
 1.77843E+03	 1.44362E+03
 1.78081E+03	 1.44470E+03
 1.78319E+03	 1.44400E+03
 1.78556E+03	 1.44494E+03
 1.78794E+03	 1.44522E+03
 1.79031E+03	 1.44484E+03
 1.79269E+03	 1.44280E+03
 1.79506E+03	 1.44654E+03
 1.79743E+03	 1.44556E+03
 1.79981E+03	 1.44678E+03
 1.80218E+03	 1.44604E+03
 1.80455E+03	 1.44544E+03
 1.80692E+03	 1.44440E+03
 1.80928E+03	 1.44392E+03
 1.81165E+03	 1.44356E+03
 1.81402E+03	 1.44716E+03
 1.81639E+03	 1.44608E+03
 1.81875E+03	 1.44542E+03
 1.82112E+03	 1.44660E+03
