Wavenumber (cm^-1),Intensity (a.u.)
3008.607365,1376.3
3010.651139,1377.97
3012.669471,1377.07
3014.687286,1379.4
3016.704586,1377.77
3018.746265,1377.27
3020.762527,1376.93
3022.778274,1379.07
3024.793505,1378.97
3026.833092,1375.83
3028.847288,1376.37
3030.86097,1377.4
3032.874137,1377.87
3034.88679,1378.07
3036.923767,1378.2
3038.935387,1377.57
3040.946492,1377.73
3042.957085,1378.03
3044.991977,1377.07
3047.001537,1378.07
3049.010585,1375.8
3051.01912,1377
3053.027143,1376.9
3055.059435,1377.27
3057.066427,1376.33
3059.072908,1377.6
3061.078878,1378.3
3063.084336,1376.1
3065.114032,1377.23
3067.118462,1376.27
3069.122381,1377.07
3071.125789,1374.17
3073.128688,1376.03
3075.155793,1377.7
3077.157665,1375.87
3079.159027,1376.4
3081.15988,1376.07
3083.160223,1378.07
3085.184743,1377.53
3087.184062,1378.63
3089.182872,1375.27
3091.181174,1377.6
3093.178967,1376.9
3095.200907,1375.2
3097.197678,1376.3
3099.19394,1376.37
3101.189696,1374.4
3103.184944,1375.17
3105.179685,1376.3
3107.198535,1376.93
3109.192256,1377.33
3111.18547,1374.2
3113.178178,1374.23
3115.170379,1378.1
3117.162074,1376.8
3119.177843,1377.33
3121.168521,1376.43
3123.158693,1375.83
3125.14836,1376.2
3127.137521,1375.13
3129.126178,1374.27
3131.138872,1376.03
3133.126514,1377.53
3135.113651,1375.03
3137.100284,1376.47
3139.086413,1375.47
3141.072038,1375.97
3143.081665,1375.33
3145.066277,1375.1
3147.050386,1374.93
3149.033992,1375.27
3151.017095,1373.9
3152.999696,1374.97
3154.981795,1375.63
3156.987852,1373.9
3158.96894,1373.73
3160.949526,1373.8
3162.92961,1374.7
3164.909193,1374.97
3166.888275,1376.27
3168.866856,1375.03
3170.844936,1376.23
3172.846927,1376.5
3174.823999,1375.13
3176.800572,1374.23
3178.776644,1374.07
3180.752216,1374.67
3182.727289,1376.4
3184.701862,1374.87
3186.675935,1374.7
3188.673872,1374.67
3190.646941,1374.53
3192.619512,1376.9
3194.591584,1371.93
3196.563157,1373.5
3198.534233,1375.03
3200.50481,1376.17
3202.47489,1373.6
3204.468784,1372.67
